metodo,tempo,iteracoes
mergeSort_32_numeros,22200,782
mergeSort_2048_numeros,1155700,99160
mergeSort_1048576_numeros,325198700,88457184
mergeSort_32_numeros,17900,778
mergeSort_2048_numeros,959800,99284
mergeSort_1048576_numeros,319655500,88456122
mergeSort_32_numeros,29500,784
mergeSort_2048_numeros,1449200,99248
mergeSort_1048576_numeros,293935600,88455512
mergeSort_32_numeros,28300,786
mergeSort_2048_numeros,1430600,99210
mergeSort_1048576_numeros,296417800,88452174
mergeSort_32_numeros,32800,780
mergeSort_2048_numeros,1389900,99152
mergeSort_1048576_numeros,287636000,88454296
mergeSort_32_numeros,35600,776
mergeSort_2048_numeros,1533400,99308
mergeSort_1048576_numeros,298384700,88453160
mergeSort_32_numeros,34600,782
mergeSort_2048_numeros,1397900,99120
mergeSort_1048576_numeros,400011300,88454594
mergeSort_32_numeros,31100,780
mergeSort_2048_numeros,1998800,99230
mergeSort_1048576_numeros,409988500,88453594
mergeSort_32_numeros,78300,770
mergeSort_2048_numeros,1493400,99286
mergeSort_1048576_numeros,368987200,88454826
mergeSort_32_numeros,28800,782
mergeSort_2048_numeros,1575900,99144
mergeSort_1048576_numeros,424681500,88455902
mergeSort_32_numeros,28900,780
mergeSort_2048_numeros,1647900,99328
mergeSort_1048576_numeros,370804000,88452780
mergeSort_32_numeros,29900,780
mergeSort_2048_numeros,1576100,99254
mergeSort_1048576_numeros,331832600,88455666
mergeSort_32_numeros,27300,784
mergeSort_2048_numeros,1530700,99222
mergeSort_1048576_numeros,395199300,88452474
mergeSort_32_numeros,28900,782
mergeSort_2048_numeros,1546000,99276
mergeSort_1048576_numeros,348588700,88451620
mergeSort_32_numeros,28600,778
mergeSort_2048_numeros,1582300,99238
mergeSort_1048576_numeros,353135400,88452622
mergeSort_32_numeros,14500,782
mergeSort_2048_numeros,2703900,99158
mergeSort_1048576_numeros,287504600,88453482
mergeSort_32_numeros,30100,780
mergeSort_2048_numeros,1394000,99266
mergeSort_1048576_numeros,282560200,88454544
mergeSort_32_numeros,29800,772
mergeSort_2048_numeros,1581700,99228
mergeSort_1048576_numeros,402251700,88453254
mergeSort_32_numeros,28500,784
mergeSort_2048_numeros,1423200,99142
mergeSort_1048576_numeros,378845000,88455322
mergeSort_32_numeros,28500,790
mergeSort_2048_numeros,1591800,99144
mergeSort_1048576_numeros,375565700,88456380
mergeSort_32_numeros,29700,788
mergeSort_2048_numeros,1398100,99146
mergeSort_1048576_numeros,391959300,88454820
mergeSort_32_numeros,24300,790
mergeSort_2048_numeros,865400,99216
mergeSort_1048576_numeros,382251200,88455156
mergeSort_32_numeros,28400,790
mergeSort_2048_numeros,1333000,99212
mergeSort_1048576_numeros,281866100,88456856
mergeSort_32_numeros,29900,764
mergeSort_2048_numeros,1562500,99216
mergeSort_1048576_numeros,307742900,88457690
mergeSort_32_numeros,28800,782
mergeSort_2048_numeros,1575400,99242
mergeSort_1048576_numeros,357734200,88453786
mergeSort_32_numeros,27200,788
mergeSort_2048_numeros,1602800,99172
mergeSort_1048576_numeros,356374600,88457940
mergeSort_32_numeros,30800,780
